TOP 50 WORDS
place 2378 1184 1194
food 2314 1038 1276
atmosphere 1793 951 842
just 1739 617 1122
like 1703 639 1064
time 1551 623 928
back 1487 466 1021
service 1469 538 931
give 1424 652 772
great 1382 1129 253
know 1367 497 870
can 1338 696 642
will 1302 479 823
only 968 347 621
whole 925 329 596
don 925 310 615
restaurants 834 341 493
wanted 825 239 586
highway 821 299 522
went 789 216 573
waiting 751 231 520
people 751 249 502
called 725 117 608
best 722 544 178
well 713 331 382
trying 712 307 405
beaten 705 320 385
minutes 704 119 585
order 702 213 489
told 699 60 639
years 699 327 372
didn 691 127 564
going 688 251 437
customers 686 125 561
carpooler 675 218 457
love 656 528 128
first 656 252 404
am 650 254 396
down 627 183 444
staff 620 360 260
takes 619 214 405
ordered 616 153 463
inside 606 272 334
needed 591 222 369
looked 589 179 410
chicken 586 313 273
day 582 241 341
2nd 580 155 425
priced 574 293 281
came 558 145 413
